Column,Mean,Standard Deviation
31,0.03878650053213016,1.7373579798029177
32,0.047585098988479256,0.9579295302764088
33,-0.05817558309132586,1.2367039010720386
34,-0.002603523553439591,0.010841906453080544
35,2.8829929796239257e-05,0.013724392003932788
36,-0.001464389107388207,0.011714361332732669
37,-0.2534599422354316,1.0274494131543865
38,0.0027159786810761655,1.3033307351014034
39,-0.14353802241551966,1.1110712029602539
40,-0.09209025851002584,0.04810835088328408
41,0.22796961232147397,5.126185024951227
42,-2.3470200228707467,4.572729512343531
43,5.1309758063966475,4.134813008209101
